2018-11-13 11:31:39,655 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.5.Final
2018-11-13 11:31:39,926 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.2.Final
2018-11-13 11:31:39,936 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-11-13 11:31:39,983 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: Keycloak 4.5.0.Final (WildFly Core 5.0.0.Final) starting
2018-11-13 11:31:40,688 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=native-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-11-13 11:31:40,689 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-11-13 11:31:40,697 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.3.3.Final
2018-11-13 11:31:40,761 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2018-11-13 11:31:40,766 INFO  [org.xnio] (MSC service thread 1-8) XNIO version 3.6.3.Final
2018-11-13 11:31:40,771 INFO  [org.xnio.nio] (MSC service thread 1-8) XNIO NIO Implementation Version 3.6.3.Final
2018-11-13 11:31:40,815 INFO  [org.jboss.remoting] (MSC service thread 1-4) JBoss Remoting version 5.0.7.Final
2018-11-13 11:31:40,818 INFO  [org.jboss.as.patching] (MSC service thread 1-6) WFLYPAT0050: Keycloak cumulative patch ID is: base, one-off patches include: none
2018-11-13 11:31:40,830 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-8) WFLYDM0111: Keystore /Users/dariosarcevic/opt/keycloak-4.5.0.Final/domain/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2018-11-13 11:31:40,883 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) WFLYRMT0001: Listening on 127.0.0.1:9999
2018-11-13 11:31:41,603 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=auth-server-standalone/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-11-13 11:31:41,639 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=auth-server-clustered/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-11-13 11:31:41,818 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server load-balancer
